,question,answer,ground_truth,contexts,quadro
10,"No episódio 'canoa', o que aconteceu com a canoa de Ana?",Não há informação suficiente no episódio.,A canoa virou e Ana quase se afogou,"['Manda rezar umas missas pra ele, faz umas orações, mas não fica chamando, né? O que vocês acham?', 'Um beijo.', 'Beijos, fiquem bem.', '[vinheta] Especial de Férias é mais um quadro do canal Não Inviabilize. [ vinheta]']",../perguntas/ferias-perguntas.json
11,"No episódio 'canoa', o que Ana acredita que está acontecendo com o rapaz que a ajudou?",Não há informação suficiente no episódio.,Ela acredita que o rapaz está preso no fundo da represa e que ele a ajudou,"['Um beijo.', 'Beijos, fiquem bem.', '[vinheta] Especial de Férias é mais um quadro do canal Não Inviabilize. [ vinheta]', 'Déia Freitas: Então essa é a história da Ana aí, e amanhã eu volto com mais uma história de férias na Zona Morta. Um beijo, gente, e amanhã eu tô de volta.']",../perguntas/ferias-perguntas.json
12,"No episódio 'alpes suiços', quem era o namorado de Rogéria?",Não há informação suficiente no episódio.,Um suíço.,"['Porque a Rogéria falou: “Não, tinha sinal, sim”. E eles que chamassem alguém também, chama um desses seus amigos aí xenofóbico rico também e se vira. —', 'É isso, beijo.', 'E aí foi embora, triste, humilhada… Porque, assim, o namorado dela também tratou ela igual lixo naquele primeiro dia. — E não tinha porque, né, gente? —', 'Será? [ risos] — Sim, foi errado. Será que foi errado? [ risos] — A dúvida é essa… Ela queria saber de vocês se vocês acham que ela errou em pegar as coisas. Enfim, né?']",../perguntas/ferias-perguntas.json
13,"No episódio 'alpes suiços', o que Rogéria comprou para a viagem de férias?",Rogéria comprou potes e pôneiwares para a viagem de férias.,Comida e bebida para dez dias.,"['Porque a Rogéria falou: “Não, tinha sinal, sim”. E eles que chamassem alguém também, chama um desses seus amigos aí xenofóbico rico também e se vira. —', 'Será? [ risos] — Sim, foi errado. Será que foi errado? [ risos] — A dúvida é essa… Ela queria saber de vocês se vocês acham que ela errou em pegar as coisas. Enfim, né?', 'Rogéria ficou indignada, ela falou: “O quê? Esse maldito…”, que era o namorado dela “Quando se juntou aí com essa racinha dele aí, tirando sarro de mim? Xenofóbico”, enfim… — Horrível, horrível… — Ela se sentindo mal, se sentindo humilhada realmente. E, detalhe: Foi só ela que cozinhou e ela, além de comprar, fazer toda aquela compra pra levar, ela ainda levou os potes, as pôneiwares pra colocar as comidas, enfim, ela fez tudo. E ela falou: [efeito de voz fina] “Poxa, tá parecendo que eu sou empregada desses caras, eles estão me tratando, assim, como uma empregada”.', 'E aí foi embora, triste, humilhada… Porque, assim, o namorado dela também tratou ela igual lixo naquele primeiro dia. — E não tinha porque, né, gente? —']",../perguntas/ferias-perguntas.json
14,"No episódio 'alpes suiços', por que Rogéria decidiu ir embora do chalé?",Rogéria decidiu ir embora do chalé porque se sentiu maltratada e humilhada pelo namorado e pelos amigos xenofóbicos.,Porque os outros estavam ridicularizando a sua origem e tratando-a como uma empregada.,"['Porque a Rogéria falou: “Não, tinha sinal, sim”. E eles que chamassem alguém também, chama um desses seus amigos aí xenofóbico rico também e se vira. —', '[vinheta] Especial de Férias Não Inviabilize. [ vinheta]', 'Será? [ risos] — Sim, foi errado. Será que foi errado? [ risos] — A dúvida é essa… Ela queria saber de vocês se vocês acham que ela errou em pegar as coisas. Enfim, né?', 'E aí foi embora, triste, humilhada… Porque, assim, o namorado dela também tratou ela igual lixo naquele primeiro dia. — E não tinha porque, né, gente? —']",../perguntas/ferias-perguntas.json
15,"No episódio 'casa na praia', quem eram os pais do Gláucio?",Não há informação suficiente no episódio.,Dona Neiva e Seu Ernesto,"['Seu Ernesto poderia ter contado a verdade e não contou. —', 'Um abraço.', 'Descerem para a praia.', 'Eles já têm uma menininha que eles adotaram, então ela também ama ir para a casa lá dos avós, de praia.', 'Seu Ernesto poderia ter contado a verdade e não contou. —', 'Um abraço.', 'Descerem para a praia.', 'Eles já têm uma menininha que eles adotaram, então ela também ama ir para a casa lá dos avós, de praia.', 'Seu Ernesto poderia ter contado a verdade e não contou. —', 'Um abraço.', 'Descerem para a praia.', 'Eles já têm uma menininha que eles adotaram, então ela também ama ir para a casa lá dos avós, de praia.']",../perguntas/ferias-perguntas.json
16,"No episódio 'casa na praia', o que o Gláucio e o Márcio encontraram quando chegaram à casa da praia?",Eles encontraram uma cozinha e um quarto quando chegaram à casa da praia.,Um terreno com um cômodo e materiais de construção,"['Um abraço.', '[vinheta] Especial de Férias Não Inviabilize [vinheta]', 'E aí, lá no fundo, tinha um cômodo já feito que seria a cozinha e um pequeno cômodo do lado que seria um quarto e era isso… A casa de praia era essa.', 'risos] — Mutirão, né, gente? Mutirão é isso aí mesmo, família toda reunida ali num único propósito. [ risos] —']",../perguntas/ferias-perguntas.json
17,"No episódio 'casa na praia', por que o Gláucio se sentiu bravo com seus pais?",Não há informação suficiente no episódio.,Porque eles o enganaram sobre a verdadeira razão do convite para a praia,"['Um abraço.', 'risos] — Mutirão, né, gente? Mutirão é isso aí mesmo, família toda reunida ali num único propósito. [ risos] —', '[vinheta] Especial de Férias é mais um quadro do canal Não Inviabilize. [ vinheta]', 'Eles já têm uma menininha que eles adotaram, então ela também ama ir para a casa lá dos avós, de praia.']",../perguntas/ferias-perguntas.json
18,"No episódio 'caso de verão', quem era a amiga de Leandra que estava muito estressada e precisava de férias?",A amiga de Leandra que estava muito estressada e precisava de férias é a Flávia.,Flávia,"['Então ela acordava muito cedo — tipo seis horas da manhã — e ia correr ali na orla da praia, antes da praia encher, né?', 'É isso, um beijo.', 'E os dias foram passando, acabou férias… Voltaram. Flávia radiante, feliz, descansada. E agora Leandra tinha aí uma questão: conta ou não conta para a melhor amiga que o cara teve um caso ali na praia, né? — Um caso de verão que fosse, mas teve. — Leandra, enfim, depois de conversar com a mãe, com a própria mãe ali, com a irmã… A mãe e a irmã de Leandra e elas falaram: “Você tem que contar, filha, é sua melhor amiga… Ela vai casar com esse cara que arrumou uma mulher na praia, nas férias da Flávia”.', 'Era o momento que você via a Flávia nitidamente feliz, assim, sabe? — De estar descansando, de estar mudando de ares, de estar com a cabeça fresca… — E a Leandra estava muito feliz de ver a amiga daquele jeito, porque ela tinha visto como a amiga tava, né? — Quase surtada. — E nos primeiros quatro dias ali naquela casa de férias, era ali janeiro, logo depois das festas, praia lotada… A nossa amiga Leandra ela corre… — A Leandra disse pra mim que quem correr não é assim “Ah, hoje eu vou correr, amanhã não vou correr”, correr faz parte da vida de quem realmente corre, né? — A Leandra corre todos os dias.']",../perguntas/ferias-perguntas.json
19,"No episódio 'caso de verão', o que Leandra viu o noivo de Flávia fazendo durante as férias?",Não há informação suficiente no episódio.,Beijando uma moça em um quiosque,"['E sabe como é a praia, brasileiro, né? Todo mundo se conversa mesmo. —', 'É isso, um beijo.', '[vinheta] Especial de Férias Não Inviabilize [vinheta]', 'Era o momento que você via a Flávia nitidamente feliz, assim, sabe? — De estar descansando, de estar mudando de ares, de estar com a cabeça fresca… — E a Leandra estava muito feliz de ver a amiga daquele jeito, porque ela tinha visto como a amiga tava, né? — Quase surtada. — E nos primeiros quatro dias ali naquela casa de férias, era ali janeiro, logo depois das festas, praia lotada… A nossa amiga Leandra ela corre… — A Leandra disse pra mim que quem correr não é assim “Ah, hoje eu vou correr, amanhã não vou correr”, correr faz parte da vida de quem realmente corre, né? — A Leandra corre todos os dias.']",../perguntas/ferias-perguntas.json
